順位,名前(ターゲット内表記),フルネーム(JRA-VANデータ内表記),読み(半角仮名/欧字),欧字表記名,所属,年齢,誕生日,免許取得年,キャリア,本年着度数,1着数,2着数,3着数,着外数,総数,勝率,連対率,複勝率,前年着度数,前年1着,前年2着,前年3着,前年着外,前年総数,前年勝率,前年連対率,前年複勝率,生涯着度数,生涯1着,生涯2着,生涯3着,生涯着外,生涯総数,生涯勝率,生涯連対率,生涯複勝率,コード,現役・抹消,チェック,勝数前年比,総レース数前年比,コメント,本年順位(平地),前年順位(平地)
478,寺田雅之,"寺田 雅之","ﾃﾗﾀﾞ ﾏｻﾕｷ",M.Terada,栗東,71,1954. 5. 4,,,,,,,,,,,,,,,,,,,,,,85,77,102,798,1062,8.0,15.3,24.9,00380,抹消,0,,,,,
479,寺井千万,"寺井 千万基","ﾃﾗｲ ﾁﾏｷ",,栗東,74,1951. 6. 1,,,,,,,,,,,,,,,,,,,,,,31,25,31,86,173,17.9,32.4,50.3,00350,抹消,0,,,,,
480,出口敏幸,"出口 敏幸","ﾃﾞｸﾞﾁ ﾄｼﾕｷ","Toshiyuki Deguchi",栗東,70,1955. 5.12,,,,,,,,,,,,,,,,,,,,,,58,70,73,985,1186,4.9,10.8,16.9,00592,抹消,0,,,,,
481,出口隆義,"出口 隆義","ﾃﾞｸﾞﾁ ﾀｶﾖｼ",Ta.Deguchi,栗東,72,1954. 2.25,,,,,,,,,,,,,,,,,,,,,,266,278,283,2214,3041,8.7,17.9,27.2,00379,抹消,0,,,,,
482,角田大河,"角田 大河","ﾂﾉﾀﾞ ﾀｲｶﾞ","Taiga Tsunoda",栗東,22,2003. 5.21,,,,,,,,,,,,,,,,,,,,,,90,98,110,1295,1593,5.6,11.8,18.7,01199,抹消,0,,,,,
483,角田晃一,"角田 晃一","ﾂﾉﾀﾞ ｺｳｲﾁ","Koichi Tsunoda",栗東,55,1970.11.18,,,,,,,,,,,,,,,,,,,,,,713,658,713,6238,8322,8.6,16.5,25.0,00685,抹消,0,,,,,
484,常石勝義,"常石 勝義","ﾂﾈｲｼ ｶﾂﾖｼ","Katsuyoshi Tsuneishi",栗東,48,1977. 8. 2,,,,,,,,,,,,,,,,,,,,,,82,90,83,1248,1503,5.5,11.4,17.0,01013,抹消,0,,,,,
485,千田輝彦,"千田 輝彦","ﾁﾀﾞ ﾃﾙﾋｺ","Teruhiko Chida",栗東,56,1969. 8.23,,,,,,,,,,,,,,,,,,,,,,278,290,362,3331,4261,6.5,13.3,21.8,00675,抹消,0,,,,,
486,玉谷峰男,"玉谷 峰男","ﾀﾏﾔ ﾐﾈｵ",M.Tamaya,栗東,75,1951. 2. 2,,,,,,,,,,,,,,,,,,,,,,81,93,89,898,1161,7.0,15.0,22.7,00520,抹消,0,,,,,
487,玉田一彦,"玉田 一彦","ﾀﾏﾀﾞ ｶｽﾞﾋｺ",,栗東,88,1937.12.13,,,,,,,,,,,,,,,,,,,,,,190,194,216,1476,2076,9.2,18.5,28.9,00228,抹消,0,,,,,
488,田原成貴,"田原 成貴","ﾀﾊﾞﾗ ｾｲｷ","Seiki Tabara",栗東,67,1959. 1.15,,,,,,,,,,,,,,,,,,,,,,1112,936,862,5739,8649,12.9,23.7,33.6,00568,抹消,0,,,,,
489,田之上幸,"田之上 幸男","ﾀﾉｳｴ ﾕｷｵ",Y.Tanoue,栗東,78,1947.11.17,,,,,,,,,,,,,,,,,,,,,,240,228,223,1591,2282,10.5,20.5,30.3,00227,抹消,0,,,,,
490,谷口一明,"谷口 一明","ﾀﾆｸﾞﾁ ｶｽﾞｱｷ",K.Taniguchi,栗東,59,1967. 3. 5,,,,,,,,,,,,,,,,,,,,,,0,0,1,18,19,0.0,0.0,5.3,00644,抹消,0,,,,,
491,田中亮　,"田中 亮","ﾀﾅｶ ﾘｮｳ","Ryo Tanaka",栗東,44,1981.11.22,,,,,,,,,,,,,,,,,,,,,,5,6,4,168,183,2.7,6.0,8.2,01064,抹消,0,,,,,
492,田中健　,"田中 健","ﾀﾅｶ ｹﾝ","Ken Tanaka",栗東,37,1988. 3.16,,,,,,,,,,,,,,,,,,6.5,8.1,9.7,,162,177,193,3113,3645,4.4,9.3,14.6,01114,抹消,0,,,,,106
493,田中克典,"田中 克典","ﾀﾅｶ ｶﾂﾉﾘ","Katsunori Tanaka",栗東,38,1987. 8.12,,,,,,,,,,,,,,,,,,,,,,41,66,82,1318,1507,2.7,7.1,12.5,01103,抹消,0,,,,,
494,田所秀孝,"田所 秀孝","ﾀﾄﾞｺﾛ ﾋﾃﾞﾀｶ","Hidetaka Tadokoro",栗東,75,1950.10.31,,,,,,,,,,,,,,,,,,,,,,292,348,400,3111,4151,7.0,15.4,25.1,00223,抹消,0,,,,,
495,田所清広,"田所 清広","ﾀﾄﾞｺﾛ ｷﾖﾋﾛ","Kiyohiro Tadokoro",栗東,70,1956. 2. 8,,,,,,,,,,,,,,,,,,,,,,206,237,247,2012,2702,7.6,16.4,25.5,00375,抹消,0,,,,,
496,田島良保,"田島 良保","ﾀｼﾞﾏ ﾖｼﾔｽ",Y.Tajima,栗東,78,1947.10.17,,,,,,,,,,,,,,,,,,,,,,817,841,786,5345,7789,10.5,21.3,31.4,00222,抹消,0,,,,,
497,田島裕和,"田島 裕和","ﾀｼﾞﾏ ﾋﾛｶｽﾞ","Hirokazu Tajima",栗東,59,1966. 6.28,,,,,,,,,,,,,,,,,,,,,,246,241,270,2728,3485,7.1,14.0,21.7,00643,抹消,0,,,,,
498,田島日出,"田島 日出雄","ﾀｼﾞﾏ ﾋﾃﾞｵ",,栗東,84,1941. 6.22,,,,,,,,,,,,,,,,,,,,,,412,462,449,2792,4115,10.0,21.2,32.2,00221,抹消,0,,,,,
499,田島信行,"田島 信行","ﾀｼﾞﾏ ﾉﾌﾞﾕｷ","Nobuyuki Tajima",栗東,71,1955. 2. 1,,,,,,,,,,,,,,,,,,,,,,608,625,616,4919,6768,9.0,18.2,27.3,00349,抹消,0,,,,,
500,田嶋翔　,"田嶋 翔","ﾀｼﾞﾏ ｼｮｳ","Sho Tajima",栗東,44,1981.12.19,,,,,,,,,,,,,,,,,,,,,,104,128,127,1689,2048,5.1,11.3,17.5,01055,抹消,0,,,,,
501,太宰義人,"太宰 義人","ﾀﾞｻﾞｲ ﾖｼﾋﾄ",,栗東,80,1945. 6.29,,,,,,,,,,,,,,,,,,,,,,80,80,84,590,834,9.6,19.2,29.3,00334,抹消,0,,,,,
502,竹之下智,"竹之下 智昭","ﾀｹﾉｼﾀ ﾄﾓｱｷ","Tomoaki Takenoshita",栗東,46,1979.10.13,,,,,,,,,,,,,,,,,,,,,,93,103,107,1859,2162,4.3,9.1,14.0,01036,抹消,0,,,,,
503,武田悟　,"武田 悟","ﾀｹﾀﾞ ｻﾄﾙ",S.Takeda,栗東,79,1946. 7.18,,,,,,,,,,,,,,,,,,,,,,425,392,362,2455,3634,11.7,22.5,32.4,00218,抹消,0,,,,,
504,武英智　,"武 英智","ﾀｹ ﾋﾃﾞﾉﾘ","Hidenori Take",栗東,45,1980.12.31,,,,,,,,,,,,,,,,,,,,,,66,82,88,1651,1887,3.5,7.8,12.5,01048,抹消,0,,,,,
505,武永祥　,"武 永祥","ﾀｹ ﾅｶﾞﾖｼ","Nagayoshi Take",栗東,77,1948. 9.22,,,,,,,,,,,,,,,,,,,,,,156,175,234,2000,2565,6.1,12.9,22.0,00217,抹消,0,,,,,
506,武幸四郎,"武 幸四郎","ﾀｹ ｺｳｼﾛｳ","Koshiro Take",栗東,47,1978.11. 3,,,,,,,,,,,,,,,,,,,,,,693,699,661,7068,9121,7.6,15.3,22.5,01026,抹消,0,,,,,
507,武邦彦　,"武 邦彦","ﾀｹ ｸﾆﾋｺ",,栗東,87,1938.10.20,,,,,,,,,,,,,,,,,,,,,,1163,968,800,4748,7679,15.1,27.8,38.2,00216,抹消,0,,,,,
508,田口光雄,"田口 光雄","ﾀｸﾞﾁ ﾐﾂｵ",M.Taguchi,栗東,83,1943. 1.18,,,,,,,,,,,,,,,,,,,,,,196,230,193,1621,2240,8.8,19.0,27.6,00214,抹消,0,,,,,
509,高山吉司,"高山 吉司","ﾀｶﾔﾏ ﾖｼｼﾞ",Yo.Takayama,栗東,72,1953. 8.20,,,,,,,,,,,,,,,,,,,,,,80,72,79,1029,1260,6.3,12.1,18.3,00519,抹消,0,,,,,
510,高橋亮　,"高橋 亮","ﾀｶﾊｼ ﾘｮｳ","Ryo Takahashi",栗東,48,1978. 1. 6,,,,,,,,,,,,,,,,,,,,,,305,324,320,3574,4523,6.7,13.9,21.0,01011,抹消,0,,,,,
511,高橋康之,"高橋 康之","ﾀｶﾊｼ ﾔｽﾕｷ","Yasuyuki Takahashi",栗東,53,1972.12.10,,,,,,,,,,,,,,,,,,,,,,57,75,84,1192,1408,4.0,9.4,15.3,00713,抹消,0,,,,,
512,高橋隆　,"高橋 隆","ﾀｶﾊｼ ﾀｶｼ",T.Takahashi,栗東,84,1941. 4. 5,,,,,,,,,,,,,,,,,,,,,,268,301,300,2005,2874,9.3,19.8,30.2,00209,抹消,0,,,,,
513,高橋成忠,"高橋 成忠","ﾀｶﾊｼ ｼｹﾞﾀﾀﾞ","Shigetada Takahashi",栗東,85,1940.10. 3,,,,,,,,,,,,,,,,,,,,,,750,635,620,3170,5175,14.5,26.8,38.7,00208,抹消,0,,,,,
514,鷹野宏史,"鷹野 宏史","ﾀｶﾉ ﾋﾛﾌﾐ","Hirofumi Takano",栗東,61,1964.10. 4,,,,,,,,,,,,,,,,,,,,,,6,6,15,363,390,1.5,3.1,6.9,01121,抹消,0,,,,,
515,高崎詠三,"高崎 詠三郎","ﾀｶｻｷ ｴｲｻﾞﾌﾞﾛｳ",E.Takasaki,栗東,82,1943.11. 6,,,,,,,,,,,,,,,,,,,,,,230,245,303,2189,2967,7.8,16.0,26.2,00207,抹消,0,,,,,
516,高井彰大,"高井 彰大","ﾀｶｲ ｼｮｳﾀ","Shota Takai",栗東,41,1984.12. 3,,,,,,,,,,,,,,,,,,,,,,31,34,51,738,854,3.6,7.6,13.6,01083,抹消,0,,,,,
517,外枦保重,"外枦保 重秋","ｿﾄﾍﾎﾞ ｼｹﾞｱｷ",S.Sotohebo,栗東,77,1948.10.14,,,,,,,,,,,,,,,,,,,,,,156,141,166,1274,1737,9.0,17.1,26.7,00347,抹消,0,,,,,
518,芹沢純一,"芹沢 純一","ｾﾘｻﾞﾜ ｼﾞｭﾝｲﾁ","Junichi Serizawa",栗東,57,1968. 9. 4,,,,,,,,,,,,,,,,,,,,,,630,632,602,6463,8327,7.6,15.2,22.4,00674,抹消,0,,,,,
519,鈴木三好,"鈴木 三好","ｽｽﾞｷ ﾐﾖｼ",,栗東,70,1955. 3.22,,,,,,,,,,,,,,,,,,,,,,5,5,8,135,153,3.3,6.5,11.8,00599,抹消,0,,,,,
520,須崎昇　,"須崎 昇","ｽｻﾞｷ ﾉﾎﾞﾙ",N.Suzaki,栗東,74,1952. 1. 2,,,,,,,,,,,,,,,,,,,,,,121,126,117,1156,1520,8.0,16.3,23.9,00399,抹消,0,,,,,
521,菅谷正巳,"菅谷 正巳","ｽｶﾞﾔ ﾏｻﾐ","Masami Sugaya",栗東,64,1961. 7.22,,,,,,,,,,,,,,,,,,,,,,287,255,233,2318,3093,9.3,17.5,25.1,00620,抹消,0,,,,,
522,須貝尚介,"須貝 尚介","ｽｶﾞｲ ﾅｵｽｹ","Naosuke Sugai",栗東,59,1966. 6. 3,,,,,,,,,,,,,,,,,,,,,,302,310,326,3225,4163,7.3,14.7,22.5,00642,抹消,0,,,,,
523,須貝四郎,"須貝 四郎","ｽｶﾞｲ ｼﾛｳ",,栗東,76,1949. 5.26,,,,,,,,,,,,,,,,,,,,,,132,111,105,562,910,14.5,26.7,38.2,00200,抹消,0,,,,,
524,新川恵　,"新川 恵","ｼﾝｶﾜ ﾒｸﾞﾐ","Megumu Shinkawa",栗東,82,1943.11.24,,,,,,,,,,,,,,,,,,,,,,175,167,190,1421,1953,9.0,17.5,27.2,00199,抹消,0,,,,,
525,白浜雄造,"白浜 雄造","ｼﾗﾊﾏ ﾕｳｿﾞｳ","Yuzo Shirahama",栗東,46,1979. 9.25,,,,,,,,,,,,,,,,,,,,,,156,178,146,1554,2034,7.7,16.4,23.6,01035,抹消,0,,,,,
526,白坂宗治,"白坂 宗治","ｼﾗｻｶ ﾑﾈﾊﾙ",M.Shirasaka,栗東,74,1952. 1.20,,,,,,,,,,,,,,,,,,,,,,168,186,201,1409,1964,8.6,18.0,28.3,00198,抹消,0,,,,,
527,白坂聡　,"白坂 聡","ｼﾗｻｶ ｻﾄｼ","Satoshi Shirasaka",栗東,45,1980. 9.12,,,,,,,,,,,,,,,,,,,,,,54,56,63,975,1148,4.7,9.6,15.1,01045,抹消,0,,,,,
528,生野賢一,"生野 賢一","ｼｮｳﾉ ｹﾝｲﾁ","Kenichi Syono",栗東,41,1984. 8.10,,,,,,,,,,,,,,,,,,,,,,65,47,58,1069,1239,5.2,9.0,13.7,01081,抹消,0,,,,,
529,清水利章,"清水 利章","ｼﾐｽﾞ ﾄｼｱｷ","Toshiaki Shimizu",栗東,84,1941.12. 1,,,,,,,,,,,,,,,,,,,,,,141,138,123,811,1213,11.6,23.0,33.1,00193,抹消,0,,,,,
530,清水英次,"清水 英次","ｼﾐｽﾞ ｴｲｼﾞ","Eiji Shimizu",栗東,78,1947.12.14,,,,,,,,,,,,,,,,,,,,,,550,568,505,3947,5570,9.9,20.1,29.1,00192,抹消,0,,,,,
531,清水出美,"清水 出美","ｼﾐｽﾞ ｲｽﾞﾐ",,栗東,82,1943.11. 1,,,,,,,,,,,,,,,,,,,,,,287,315,295,1968,2865,10.0,21.0,31.3,00191,抹消,0,,,,,
532,柴原央明,"柴原 央明","ｼﾊﾞﾊﾗ ﾌﾐｱｷ","Fumiaki Shibahara",栗東,42,1983. 7.18,,,,,,,,,,,,,,,,,,,,,,120,150,148,1903,2321,5.2,11.6,18.0,01074,抹消,0,,,,,
533,柴田光陽,"柴田 光陽","ｼﾊﾞﾀ ﾐﾂﾊﾙ",Mitsu.Sibata,栗東,73,1952.12. 3,,,,,,,,,,,,,,,,,,,,,,184,196,216,1471,2067,8.9,18.4,28.8,00398,抹消,0,,,,,
534,柴田未崎,"柴田 未崎","ｼﾊﾞﾀ ﾐｻｷ","Misaki Shibata",栗東,48,1977. 6.18,,,,,,,,,,,,,,,,,,,,,,94,119,164,2796,3173,3.0,6.7,11.9,01010,抹消,0,,,,,
535,柴田政見,"柴田 政見","ｼﾊﾞﾀ ﾏｻﾐ","Masami Shibata",栗東,79,1946. 7. 1,,,,,,,,,,,,,,,,,,,,,,364,414,428,3057,4263,8.5,18.3,28.3,00188,抹消,0,,,,,
536,柴田利秋,"柴田 利秋","ｼﾊﾞﾀ ﾄｼｱｷ",T.Shibata,栗東,75,1950.10.22,,,,,,,,,,,,,,,,,,,,,,74,104,142,1186,1506,4.9,11.8,21.2,00333,抹消,0,,,,,
537,鹿戸明　,"鹿戸 明","ｼｶﾄ ｱｷﾗ",,栗東,82,1943.12.14,,,,,,,,,,,,,,,,,,,,,,286,300,312,2129,3027,9.4,19.4,29.7,00184,抹消,0,,,,,
538,塩村克己,"塩村 克己","ｼｵﾑﾗ ｶﾂﾐ","Katsumi Shiomura",栗東,57,1969. 1. 5,,,,,,,,,,,,,,,,,,,,,,289,288,261,2616,3454,8.4,16.7,24.3,00665,抹消,0,,,,,
539,四位満教,"四位 満教","ｼｲ ﾐﾁﾉﾘ",M.Shii,栗東,81,1944. 9. 1,,,,,,,,,,,,,,,,,,,,,,321,369,383,2537,3610,8.9,19.1,29.7,00183,抹消,0,,,,,
540,四位洋文,"四位 洋文","ｼｲ ﾋﾛﾌﾐ","Hirofumi Shii",栗東,53,1972.11.30,,,,,,,,,,,,,,,,,,,,,,1586,1420,1244,9669,13919,11.4,21.6,30.5,00700,抹消,0,,,,,
541,沢峰次　,"沢 峰次","ｻﾜ ﾐﾈｼﾞ","Minetsugu Sawa",栗東,80,1945. 4.12,,,,,,,,,,,,,,,,,,,,,,127,128,129,637,1021,12.4,25.0,37.6,00182,抹消,0,,,,,
542,猿橋重利,"猿橋 重利","ｻﾙﾊｼ ｼｹﾞﾄｼ","Shigetoshi Saruhashi",栗東,69,1956.10.24,,,,,,,,,,,,,,,,,,,,,,422,446,479,3691,5038,8.4,17.2,26.7,00540,抹消,0,,,,,
543,佐山優　,"佐山 優","ｻﾔﾏ ﾏｻﾙ",,栗東,82,1943. 3.24,,,,,,,,,,,,,,,,,,,,,,204,178,212,1049,1643,12.4,23.3,36.2,00181,抹消,0,,,,,
544,佐藤正雄,"佐藤 正雄","ｻﾄｳ ﾏｻｵ","Masao Sato",栗東,78,1948. 1. 1,,,,,,,,,,,,,,,,,,,,,,209,230,231,2064,2734,7.6,16.1,24.5,00179,抹消,0,,,,,
545,佐藤哲三,"佐藤 哲三","ｻﾄｳ ﾃﾂｿﾞｳ","Tetsuzo Sato",栗東,55,1970. 9.17,,,,,,,,,,,,,,,,,,,,,,938,997,926,7709,10570,8.9,18.3,27.1,00682,抹消,0,,,,,
546,佐々木晶,"佐々木 晶三","ｻｻｷ ｼﾖｳｿﾞｳ",,栗東,70,1956. 1.15,,,,,,,,,,,,,,,,,,,,,,136,112,110,822,1180,11.5,21.0,30.3,00374,抹消,0,,,,,
547,佐々木昭,"佐々木 昭次","ｻｻｷ ｼﾖｳｼﾞ",S.Sasaki,栗東,87,1938.11.19,,,,,,,,,,,,,,,,,,,,,,380,390,419,2647,3836,9.9,20.1,31.0,00176,抹消,0,,,,,
548,桜井誠二,"桜井 誠二","ｻｸﾗｲ ｾｲｼﾞ",S.Sakurai,栗東,68,1957.12.24,,,,,,,,,,,,,,,,,,,,,,121,119,133,1549,1922,6.3,12.5,19.4,00539,抹消,0,,,,,
549,佐久間寛,"佐久間 寛志","ｻｸﾏ ﾋﾛｼ","Hiroshi Sakuma",栗東,41,1984. 5.26,,,,,,,,,,,,,,,,,,,,,,65,92,99,1698,1954,3.3,8.0,13.1,01080,抹消,0,,,,,
550,作田誠二,"作田 誠二","ｻｸﾀ ｾｲｼﾞ","Seiji Sakuta",栗東,77,1949. 3. 7,,,,,,,,,,,,,,,,,,,,,,218,259,287,2066,2830,7.7,16.9,27.0,00175,抹消,0,,,,,
551,崎山博樹,"崎山 博樹","ｻｷﾔﾏ ﾋﾛｷ",,栗東,75,1950.12.14,,,,,,,,,,,,,,,,,,,,,,78,99,109,719,1005,7.8,17.6,28.5,00174,抹消,0,,,,,
552,坂本恒三,"坂本 恒三","ｻｶﾓﾄ ｺｳｿﾞｳ",,栗東,75,1950. 3.18,,,,,,,,,,,,,,,,,,,,,,154,171,160,1405,1890,8.1,17.2,25.7,00173,抹消,0,,,,,
553,坂口正則,"坂口 正則","ｻｶｸﾞﾁ ﾏｻﾉﾘ",,栗東,77,1948. 9. 2,,,,,,,,,,,,,,,,,,,,,,44,39,47,395,525,8.4,15.8,24.8,00373,抹消,0,,,,,
554,酒井浩　,"酒井 浩","ｻｶｲ ﾋﾛｼ","Hiroshi Sakai",栗東,70,1955.10.25,,,,,,,,,,,,,,,,,,,,,,102,133,135,1235,1605,6.4,14.6,23.1,00598,抹消,0,,,,,
555,境直行　,"境 直行","ｻｶｲ ﾅｵﾕｷ",,栗東,81,1944. 9.15,,,,,,,,,,,,,,,,,,,,,,160,204,159,1102,1625,9.8,22.4,32.2,00172,抹消,0,,,,,
556,佐伯清久,"佐伯 清久","ｻｴｷ ｷﾖﾋｻ","Kiyohisa Saeki",栗東,54,1971. 3.12,,,,,,,,,,,,,,,,,,,,,,77,95,141,1635,1948,4.0,8.8,16.1,00681,抹消,0,,,,,
557,斉藤博美,"斉藤 博美","ｻｲﾄｳ ﾋﾛﾐ","Hiromi Saito",栗東,73,1952. 3.30,,,,,,,,,,,,,,,,,,,,,,147,167,160,1666,2140,6.9,14.7,22.1,00396,抹消,0,,,,,
558,昆貢　　,"昆 貢","ｺﾝ ﾐﾂｸﾞ",M.Kon,栗東,67,1958. 6.14,,,,,,,,,,,,,,,,,,,,,,92,90,108,831,1121,8.2,16.2,25.9,00564,抹消,0,,,,,
559,小屋敷昭,"小屋敷 昭","ｺﾔｼｷ ｱｷﾗ","Akira Koyashiki",栗東,65,1961. 3. 4,,,,,,,,,,,,,,,,,,,,,,237,213,264,1860,2574,9.2,17.5,27.7,00606,抹消,0,,,,,
560,小谷内秀,"小谷内 秀夫","ｺﾔｳﾁ ﾋﾃﾞｵ","Hideo Koyauchi",栗東,77,1948. 6. 8,,,,,,,,,,,,,,,,,,,,,,341,358,329,2706,3734,9.1,18.7,27.5,00395,抹消,0,,,,,
561,小牧太　,"小牧 太","ｺﾏｷ ﾌﾄｼ","Futoshi Komaki",栗東,58,1967. 9. 7,,,,,,,,,,,,,,,,,,,,,,911,896,888,9046,11741,7.8,15.4,23.0,00894,抹消,0,,,,,
562,小林徹弥,"小林 徹弥","ｺﾊﾞﾔｼ ﾃﾂﾔ","Tetsuya Kobayashi",栗東,51,1974. 5. 5,,,,,,,,,,,,,,,,,,,,,,383,436,471,6347,7637,5.0,10.7,16.9,00722,抹消,0,,,,,
563,小林慎一,"小林 慎一郎","ｺﾊﾞﾔｼ ｼﾝｲﾁﾛｳ","Shinichiro Kobayashi",栗東,44,1981. 7. 8,,,,,,,,,,,,,,,,,,,,,,59,42,80,1146,1327,4.4,7.6,13.6,01053,抹消,0,,,,,
564,小谷祐司,"小谷 祐司","ｺﾀﾆ ﾕｳｼﾞ","Yuji Kotani",栗東,58,1968. 2. 3,,,,,,,,,,,,,,,,,,,,,,11,19,29,528,587,1.9,5.1,10.1,00653,抹消,0,,,,,
565,古小路重,"古小路 重男","ｺｼｮｳｼﾞ ｼｹﾞｵ","Shigeo Koshoji",栗東,68,1957.11.13,,,,,,,,,,,,,,,,,,,,,,166,157,187,1451,1961,8.5,16.5,26.0,00563,抹消,0,,,,,
566,小島貞博,"小島 貞博","ｺｼﾞﾏ ｻﾀﾞﾋﾛ","Sadahiro Kojima",栗東,74,1951.11.10,,,,,,,,,,,,,,,,,,,,,,495,469,464,3294,4722,10.5,20.4,30.2,00164,抹消,0,,,,,
567,合谷喜壮,"合谷 喜壮","ｺﾞｳﾔ ｷｿｳ","Kiso Goya",栗東,57,1968. 4. 9,,,,,,,,,,,,,,,,,,,,,,44,69,81,1284,1478,3.0,7.6,13.1,00664,抹消,0,,,,,
568,高野容輔,"高野 容輔","ｺｳﾉ ﾖｳｽｹ","Yosuke Kono",栗東,42,1983.10.29,,,,,,,,,,,,,,,,,,,,,,50,56,79,1271,1456,3.4,7.3,12.7,01073,抹消,0,,,,,
569,小池隆生,"小池 隆生","ｺｲｹ ﾀｶｵ","Takao Koike",栗東,55,1970. 3.11,,,,,,,,,,,,,,,,,,,,,,302,283,352,4068,5005,6.0,11.7,18.7,00680,抹消,0,,,,,
570,栗田伸一,"栗田 伸一","ｸﾘﾀ ｼﾝｲﾁ","Shinichi Kurita",栗東,66,1959. 4.10,,,,,,,,,,,,,,,,,,,,,,216,218,214,2394,3042,7.1,14.3,21.3,00588,抹消,0,,,,,
571,熊沢重文,"熊沢 重文","ｸﾏｻﾞﾜ ｼｹﾞﾌﾐ","Shigefumi Kumazawa",栗東,58,1968. 1.25,,,,,,,,,,,,,,,,,,,,,,1051,1127,1098,11946,15222,6.9,14.3,21.5,00652,抹消,0,,,,,
572,久保田英,"久保田 英敬","ｸﾎﾞﾀ ﾋﾃﾞﾉﾘ","Hidenori Kubota",栗東,54,1971. 7.11,,,,,,,,,,,,,,,,,,,,,,149,180,194,2086,2609,5.7,12.6,20.0,00692,抹消,0,,,,,
573,久保田敏,"久保田 敏彦","ｸﾎﾞﾀ ﾄｼﾋｺ",T.Kubota,栗東,72,1953.11.16,,,,,,,,,,,,,,,,,,,,,,117,129,144,1346,1736,6.7,14.2,22.5,00538,抹消,0,,,,,
574,久保敏文,"久保 敏文","ｸﾎﾞ ﾄｼﾌﾐ","Toshifumi Kubo",栗東,82,1943.11.21,,,,,,,,,,,,,,,,,,,,,,562,474,539,3113,4688,12.0,22.1,33.6,00157,抹消,0,,,,,
575,久保一秋,"久保 一秋","ｸﾎﾞ ｶｽﾞｱｷ",,栗東,77,1949. 1. 9,,,,,,,,,,,,,,,,,,,,,,225,236,210,1614,2285,9.8,20.2,29.4,00156,抹消,0,,,,,
576,楠孝志　,"楠 孝志","ｸｽﾉｷ ﾀｶｼ","Takashi Kusunoki",栗東,79,1947. 2.25,,,,,,,,,,,,,,,,,,,,,,302,349,363,2472,3486,8.7,18.7,29.1,00155,抹消,0,,,,,
577,清山宏明,"清山 宏明","ｷﾖﾔﾏ ﾋﾛｱｷ","Hiroaki Kiyoyama",栗東,57,1968. 3.13,,,,,,,,,,,,,,,,,,,,,,141,129,154,1754,2178,6.5,12.4,19.5,00651,抹消,0,,,,,
578,木原一良,"木原 一良","ｷﾊﾗ ｶｽﾞﾖｼ",,栗東,71,1954. 4.25,,,,,,,,,,,,,,,,,,,,,,29,32,45,496,602,4.8,10.1,17.6,00368,抹消,0,,,,,
579,北村卓士,"北村 卓士","ｷﾀﾑﾗ ﾀｶｼ","Takashi Kitamura",栗東,69,1956. 9.27,,,,,,,,,,,,,,,,,,,,,,114,100,97,936,1247,9.1,17.2,24.9,00613,抹消,0,,,,,
580,北村浩平,"北村 浩平","ｷﾀﾑﾗ ｺｳﾍｲ","Kohei Kitamura",栗東,42,1983.12.24,,,,,,,,,,,,,,,,,,,,,,59,51,57,962,1129,5.2,9.7,14.8,01079,抹消,0,,,,,
581,北橋修二,"北橋 修二","ｷﾀﾊｼ ｼｭｳｼﾞ","Shuji Kitahashi",栗東,90,1935. 9.10,,,,,,,,,,,,,,,,,,,,,,587,593,567,2870,4617,12.7,25.6,37.8,00154,抹消,0,,,,,
582,北沢伸也,"北沢 伸也","ｷﾀｻﾞﾜ ｼﾝﾔ","Shinya Kitazawa",栗東,54,1971. 6. 9,,,,,,,,,,,,,,,,,,,,,,282,299,279,2344,3204,8.8,18.1,26.8,00691,抹消,0,,,,,
583,北川和典,"北川 和典","ｷﾀｶﾞﾜ ｶｽﾞﾉﾘ","Kazunori Kitagawa",栗東,57,1968. 3.24,,,,,,,,,,,,,,,,,,,,,,58,57,83,1153,1351,4.3,8.5,14.7,00650,抹消,0,,,,,
584,岸滋彦　,"岸 滋彦","ｷｼ ｼｹﾞﾋｺ","Shigehiko Kishi",栗東,56,1969.12. 4,,,,,,,,,,,,,,,,,,,,,,431,449,483,4309,5672,7.6,15.5,24.0,00673,抹消,0,,,,,
585,菊地昇吾,"菊地 昇吾","ｷｸﾁ ｼｮｳｺﾞ","Shogo Kikuchi",栗東,50,1975.11.29,,,,,,,,,,,,,,,,,,,,,,104,137,139,1889,2269,4.6,10.6,16.7,00728,抹消,0,,,,,
586,菊沢隆仁,"菊沢 隆仁","ｷｸｻﾞﾜ ﾀｶﾋﾄ","Takahito Kikuzawa",栗東,52,1973. 8. 3,,,,,,,,,,,,,,,,,,,,,,145,189,225,2312,2871,5.1,11.6,19.5,00710,抹消,0,,,,,
587,川村禎彦,"川村 禎彦","ｶﾜﾑﾗ ﾖｼﾋｺ",Y.Kawamura,栗東,67,1958. 5.24,,,,,,,,,,,,,,,,,,,,,,48,52,57,282,439,10.9,22.8,35.8,00562,抹消,0,,,,,
588,川端義雄,"川端 義雄","ｶﾜﾊﾞﾀ ﾖｼｵ",Y.Kawabata,栗東,83,1943. 1.17,,,,,,,,,,,,,,,,,,,,,,296,285,288,2100,2969,10.0,19.6,29.3,00152,抹消,0,,,,,
